hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro4,2017,9,597,126,189,1.2693167826024596,0.9983314500112525,0.3584383424526303,0.7102275486019216,-1.615314611092234,0.7818214853346821,0.07238026206361625,0.787180947940603,0.7298752836331914,2.0316408022990773,-0.1624424577354448,65,507,61,90,72,597,54,0,64,387,62,210
Hydro4,2017,10,203,57,189,1.5103783595197846,1.5480445352629613,0.5571875814517601,0.561735838697642,-2.090598587136078,0.2406958794695666,-0.1633837943095291,0.647597227835935,0.264589197870818,1.5876610032725558,-0.652349235094744,66,285,-9,-82,67,203,-10,0,50,319,7,-116
Hydro4,2017,11,436,88,189,1.7745209452397093,1.558098840582129,0.6440125614719127,0.23938514394719684,-0.8816359515404,-0.2449100976610319,-0.34045949828983013,0.5621241800532684,-0.7255375369227048,1.0367857471977815,0.3593472193942697,62,342,26,94,49,285,39,151,45,357,43,79
Hydro4,2017,12,393,89,189,1.0180141229056408,0.11374384548042137,0.08931196717594245,0.04713700569908663,0.23997174053064751,0.6815265379412596,-0.00627432755288259,0.606435775528201,-0.837928750957996,0.5096106308590067,-0.7552261324489653,75,332,14,61,69,393,20,0,62,312,27,81
Hydro4,2018,1,269,90,189,1.7058316628092034,2.1639307316184704,0.6015153708239742,0.11431818580943924,-0.7822225230932704,-0.01840234360372822,-0.41959004448351783,0.38546388124474734,-1.1875220703696796,0.6517302985961111,0.7116434687024098,78,297,12,-28,64,269,26,0,82,291,8,-22
Hydro4,2018,2,324,79,189,0.2060036923785209,0.5110514068809685,1.1090050705286587,0.05761940301296129,-0.5462667706204405,0.05759520519393479,-0.2989277849530875,0.36404424607539454,-1.2438051019133491,0.4208666672716512,0.2351896877517966,67,275,12,49,64,324,15,0,87,284,-8,40
Hydro4,2018,3,327,76,189,1.1352236458002372,2.0964364761249223,1.3911996932307993,-0.00129067772254668,-1.0583471048360344,0.34058200800571636,-0.43123644714163567,0.21498221445674717,-1.92237034488642,-0.3078410273499572,-0.4596017414695909,66,259,10,68,58,327,18,0,83,337,-7,-10
Hydro4,2018,4,169,43,189,2.131267743406631,3.5424508894066173,0.5435994029165981,-0.7073261360337431,-2.112733952445658,-0.14099691594608815,-0.756100285106786,-0.00961469518279911,-2.556587476190984,-0.8752962826922741,-0.5655192223618963,52,219,-9,-50,41,169,2,0,61,252,-18,-83
Hydro4,2018,5,441,193,189,2.791496128046642,4.170406643185985,-0.03764376230777777,-1.8038347069974592,-2.698506716423291,-0.19561731440732927,-0.7731866733457939,0.04132766453478234,-3.689491828654384,-1.2850868655974872,0.9983694288927076,79,385,114,56,71,441,122,0,65,419,128,22
Hydro4,2018,6,247,103,189,3.155005549928288,3.175197102501796,-0.36441318805246026,-1.1839195582473738,-5.180177498792916,-0.16269256212366312,-0.8822973691590783,0.14463674575407054,-2.514376625740821,-0.5240219378555,0.39538034275880274,101,353,2,-106,89,252,14,-5,107,404,-4,-157
Hydro4,2018,7,225,62,189,2.452265541347902,2.3560991448476867,-0.7802419561558375,-0.4457998424218574,-2.9139655101160473,0.04950783548965365,-0.5713064825355909,0.2577973851295205,-1.3090474918307722,0.4800792585150699,0.43198457903930576,69,288,-7,-63,70,225,-8,0,70,349,-8,-124
Hydro4,2018,8,370,67,189,2.2618096591903343,1.269488813806859,1.000293406873487,-0.6858291828848037,-0.5185094803600664,0.4245205047232103,-0.2366089988722216,0.39908918155944706,0.03400607073497765,1.4890552032280886,0.17690880820521113,69,399,-2,-29,50,417,17,-47,74,499,-7,-129
Hydro4,2018,9,158,38,189,0.8025847337770665,0.18763264016657852,1.455889200145588,-0.08098751314108424,0.21322205428127455,0.73684624875863,-0.14738607207340432,0.5267300567621284,0.5842819837964205,2.0011894002156136,0.11440226876632342,44,302,-6,-144,44,355,-6,-197,54,361,-16,-203
Hydro4,2018,10,483,79,189,0.9931343404096228,0.7390875122213172,2.1794533648075776,0.2275691065000594,-2.6602486806111316,0.8804763145136502,-0.21005176078211907,0.5049962790101842,0.17213024119051384,1.565190346428226,-0.43543068376094224,49,371,30,112,21,483,58,0,42,461,37,22
Hydro4,2018,11,44,9,189,1.171319000175718,1.10609243733877,0.517553914718173,0.6577325989507741,-2.1348574351975818,-0.13965778243032023,-0.4209505090678243,0.4114908833163962,-0.6745152362917511,1.046070369892389,0.2805290207229661,32,151,-23,-107,16,44,-7,0,34,196,-25,-152
